race_year,driver_name,driver_id,driver_nationality,total_points,wins,rank
2021,Lewis Hamilton,1,British,44,1,1
2021,Max Verstappen,830,Dutch,43,1,2
2021,Lando Norris,846,British,27,0,3
2021,Charles Leclerc,844,Monegasque,20,0,4
2021,Valtteri Bottas,822,Finnish,16,0,5
2021,Carlos Sainz,832,Spanish,14,0,6
2021,Daniel Ricciardo,817,Australian,14,0,6
2021,Sergio Pérez,815,Mexican,10,0,8
2021,Pierre Gasly,842,French,6,0,9
2021,Lance Stroll,840,Canadian,5,0,10
2021,Yuki Tsunoda,852,Japanese,2,0,11
2021,Esteban Ocon,839,French,2,0,11
2021,Fernando Alonso,4,Spanish,1,0,13
2021,Nikita Mazepin,853,Russian,0,0,14
2021,Sebastian Vettel,20,German,0,0,14
2021,George Russell,847,British,0,0,14
2021,Antonio Giovinazzi,841,Italian,0,0,14
2021,Kimi Räikkönen,8,Finnish,0,0,14
2021,Nicholas Latifi,849,Canadian,0,0,14
2021,Mick Schumacher,854,German,0,0,14
